"","%IncMSE","IncNodePurity","normal_year"
"SW_IN_Anom_smooth",111.547866964263,2396.94689233533,2000
"TA_Anom_smooth",68.150205336975,929.791499129735,2000
"VPD_Anom_smooth",79.7833271172921,1329.24337339894,2000
"WAI_Anom_smooth",155.758408632753,3278.57200528213,2000
"SW_IN_POT",90.8508369989572,1469.22745934525,2000
"SW_IN_Anom_smooth1",115.006031240302,2343.84119875325,2001
"TA_Anom_smooth1",70.9126375811562,909.590862846677,2001
"VPD_Anom_smooth1",76.5868538597405,1427.22073005577,2001
"WAI_Anom_smooth1",144.02697035751,3246.80204801197,2001
"SW_IN_POT1",85.2563688288966,1219.46837808153,2001
"SW_IN_Anom_smooth2",104.423343309837,2247.99108488213,2002
"TA_Anom_smooth2",70.4740460159742,965.808952336672,2002
"VPD_Anom_smooth2",82.1000442577741,1333.43394026951,2002
"WAI_Anom_smooth2",139.249039563271,3253.89045704448,2002
"SW_IN_POT2",95.2805866767564,1489.86187856528,2002
"SW_IN_Anom_smooth3",113.607655441585,2358.86459988245,2006
"TA_Anom_smooth3",64.5260318464477,849.740233851039,2006
"VPD_Anom_smooth3",77.9906043476368,1453.2405135089,2006
"WAI_Anom_smooth3",133.647768972904,3295.59544386767,2006
"SW_IN_POT3",94.7333855257722,1429.15970707555,2006
"SW_IN_Anom_smooth4",114.150211234783,2421.28196451278,2007
"TA_Anom_smooth4",67.5702862607704,934.642384547832,2007
"VPD_Anom_smooth4",74.9381927801603,1283.28044462469,2007
"WAI_Anom_smooth4",147.7335043099,3361.87440158319,2007
"SW_IN_POT4",98.5289936116015,1490.69646634436,2007
"SW_IN_Anom_smooth5",117.726836165094,2442.07489725202,2008
"TA_Anom_smooth5",70.1681170559266,940.815841967742,2008
"VPD_Anom_smooth5",75.4097849985369,1145.22530383733,2008
"WAI_Anom_smooth5",126.920279875172,3412.55673058495,2008
"SW_IN_POT5",87.2259899810776,1369.9884338445,2008
"SW_IN_Anom_smooth6",119.895572786965,2427.3325246311,2009
"TA_Anom_smooth6",62.0155637030352,890.679963412329,2009
"VPD_Anom_smooth6",81.1778646412697,1287.56415772581,2009
"WAI_Anom_smooth6",153.586045045808,3258.13805349716,2009
"SW_IN_POT6",90.0616922525203,1513.48176954059,2009
"SW_IN_Anom_smooth7",118.379985400474,2229.2982740343,2010
"TA_Anom_smooth7",63.8730315005061,886.059608675504,2010
"VPD_Anom_smooth7",79.2863200598023,1230.19214680551,2010
"WAI_Anom_smooth7",143.662192622204,3423.34119277999,2010
"SW_IN_POT7",95.2630653576851,1458.90703385631,2010
"SW_IN_Anom_smooth8",118.875048975237,2424.89399293615,2011
"TA_Anom_smooth8",72.5144369974568,937.058078955383,2011
"VPD_Anom_smooth8",78.2571073531193,1303.97876796915,2011
"WAI_Anom_smooth8",139.537900515474,3340.87910972906,2011
"SW_IN_POT8",90.4750912714185,1489.10135482144,2011
"SW_IN_Anom_smooth9",116.985550339064,2468.76266886803,2012
"TA_Anom_smooth9",70.6792795351503,927.639955810676,2012
"VPD_Anom_smooth9",80.3920787785792,1321.50217878529,2012
"WAI_Anom_smooth9",146.030906175614,3308.6689854254,2012
"SW_IN_POT9",93.5214598783878,1476.60422176769,2012
"SW_IN_Anom_smooth10",112.225693204048,2243.5029834856,2013
"TA_Anom_smooth10",74.3795694725938,927.708642061901,2013
"VPD_Anom_smooth10",78.9718824423004,1280.73204411962,2013
"WAI_Anom_smooth10",136.56870484798,3217.82731409541,2013
"SW_IN_POT10",80.3751864885475,1355.20504599978,2013
"SW_IN_Anom_smooth11",124.402752792958,2447.81498791517,2014
"TA_Anom_smooth11",78.9533081741082,846.595870008186,2014
"VPD_Anom_smooth11",71.6007247712551,1152.41924418132,2014
"WAI_Anom_smooth11",136.53908183794,3170.06894126817,2014
"SW_IN_POT11",98.3286179619635,1398.85102608607,2014
"SW_IN_Anom_smooth12",111.22170157379,2497.5666790197,2015
"TA_Anom_smooth12",75.0941110960724,947.854702803118,2015
"VPD_Anom_smooth12",80.3033508522792,1312.75387630877,2015
"WAI_Anom_smooth12",148.99921453302,3203.68579709493,2015
"SW_IN_POT12",87.2479917045492,1447.2005985939,2015
"SW_IN_Anom_smooth13",119.559632844156,2626.084724191,2016
"TA_Anom_smooth13",58.5827423500151,865.506280918776,2016
"VPD_Anom_smooth13",79.6144002048152,1250.70268429085,2016
"WAI_Anom_smooth13",144.930507951204,3276.92726626407,2016
"SW_IN_POT13",98.9259091019627,1480.28598380066,2016
"SW_IN_Anom_smooth14",121.65709138575,2264.60557501561,2017
"TA_Anom_smooth14",64.8890750493232,826.182367688148,2017
"VPD_Anom_smooth14",83.1346336917898,1205.30547201319,2017
"WAI_Anom_smooth14",146.166311128832,3049.28964203721,2017
"SW_IN_POT14",90.8569485287918,1343.60364879447,2017
"SW_IN_Anom_smooth15",115.37864504149,2495.67493874579,2003
"TA_Anom_smooth15",71.1828358315944,905.547913119394,2003
"VPD_Anom_smooth15",69.4468132568787,1094.03610640744,2003
"WAI_Anom_smooth15",134.42893234496,2904.440797199,2003
"SW_IN_POT15",88.0443858272218,1404.18200884517,2003
"SW_IN_Anom_smooth16",112.367384432315,2268.86352607887,2018
"TA_Anom_smooth16",62.4376568817081,884.112942784838,2018
"VPD_Anom_smooth16",72.1644752267901,1111.85196952997,2018
"WAI_Anom_smooth16",102.965989961753,1807.37270051965,2018
"SW_IN_POT16",79.3662437759682,1096.51790795437,2018
