"","%IncMSE","IncNodePurity","normal_year"
"SW_IN_Anom_smooth",61.927631823901,671.57425121098,2002
"TA_Anom_smooth",35.4314078109475,157.908881084541,2002
"VPD_Anom_smooth",21.2311148436911,230.120633121511,2002
"WAI_Anom_smooth",106.151846811596,788.294026348095,2002
"SW_IN_POT",81.4005539754375,477.522396285288,2002
"SW_IN_Anom_smooth1",52.3023079388019,669.908457381305,2006
"TA_Anom_smooth1",41.5054292365488,176.501021954592,2006
"VPD_Anom_smooth1",34.9244302776949,310.645566820643,2006
"WAI_Anom_smooth1",106.042004376704,749.412051391505,2006
"SW_IN_POT1",77.6680170525196,403.747118533453,2006
"SW_IN_Anom_smooth2",72.760305814798,569.929972533125,2010
"TA_Anom_smooth2",48.9349048984264,137.036586625435,2010
"VPD_Anom_smooth2",36.4608986921419,219.298141310921,2010
"WAI_Anom_smooth2",132.501159628356,702.668599162753,2010
"SW_IN_POT2",88.2054897519066,423.624551590576,2010
"SW_IN_Anom_smooth3",50.9966298069431,642.079385079413,2011
"TA_Anom_smooth3",42.6799586716282,126.712269286593,2011
"VPD_Anom_smooth3",28.0475765427924,190.465677324564,2011
"WAI_Anom_smooth3",97.4565661223207,675.763630021033,2011
"SW_IN_POT3",76.0818227118077,404.200908584123,2011
"SW_IN_Anom_smooth4",50.4498210291318,457.475830039008,2012
"TA_Anom_smooth4",46.2540552224232,178.125959279741,2012
"VPD_Anom_smooth4",31.9403410109812,245.748140774533,2012
"WAI_Anom_smooth4",100.049612172022,579.913354108872,2012
"SW_IN_POT4",71.0269210379629,372.564929187018,2012
"SW_IN_Anom_smooth5",58.4534159133097,732.981111023009,2003
"TA_Anom_smooth5",45.1741932981854,168.981395065856,2003
"VPD_Anom_smooth5",27.2042586642506,163.744604468023,2003
"WAI_Anom_smooth5",111.663836088627,518.580915619568,2003
"SW_IN_POT5",75.4327097816334,320.524794348378,2003
